Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Case #,Parcel ID,Case Link,Parcel Link
07/28/2026 10:00 AM ET,"335 20TH AVE S ST PETERSBURG, FL- 33705","$1,126,841.35","$390,000.00",Hidden,522025CA003770XXCICI,173130771840110020,https://www.pinellas.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=522025CA003770XXCICI&bypassPage=1,https://pcpao.gov/Parcel-Details/173130771840110020
07/29/2026 10:00 AM ET,"3977 MERMOOR DR PALM HARBOR, FL- 34685","$127,214.64","$98,124.00",Hidden,522025CA000679XXCICI,162726118750120020,https://www.pinellas.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=522025CA000679XXCICI&bypassPage=1,https://pcpao.gov/Parcel-Details/162726118750120020
07/29/2026 10:00 AM ET,"2048 LOMA LINDA WAY S CLEARWATER, FL- 33763","$126,905.62","$75,956.00",Hidden,522025CA003739XXCICI,152901936290001990,https://www.pinellas.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=522025CA003739XXCICI&bypassPage=1,https://pcpao.gov/Parcel-Details/152901936290001990
07/30/2026 10:00 AM ET,"2346 GROVE ST S ST PETERSBURG, FL- 33705","$239,909.31","$214,973.00",Hidden,522024CA001105XXCICI,173131743040000700,https://www.pinellas.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=522024CA001105XXCICI&bypassPage=1,https://pcpao.gov/Parcel-Details/173131743040000700
07/30/2026 10:00 AM ET,"3028 RED OAK CT # 102 PALM HARBOR, FL- 34684","$199,499.95","$109,949.00","$204,682.30",522024CA001332XXCICI,162816636230031020,https://www.pinellas.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=522024CA001332XXCICI&bypassPage=1,https://pcpao.gov/Parcel-Details/162816636230031020
07/30/2026 10:00 AM ET,"6199 59TH PL N ST PETERSBURG, FL- 33709","$343,756.28","$280,306.00",Hidden,522025CA001577XXCICI,163032928440010011,https://www.pinellas.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=522025CA001577XXCICI&bypassPage=1,https://pcpao.gov/Parcel-Details/163032928440010011
07/30/2026 10:00 AM ET,"608 2ND ST SW LARGO, FL- 33770","$345,673.07","$383,175.00",Hidden,522025CA004645XXCICI,152934062640000060,https://www.pinellas.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=522025CA004645XXCICI&bypassPage=1,https://pcpao.gov/Parcel-Details/152934062640000060
07/30/2026 10:00 AM ET,"334 BOCA CIEGA DR MADEIRA BEACH, FL- 33708","$468,644.69","$276,763.00","$300,000.00",522025CA006433XXCICI,153115471060000030,https://www.pinellas.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=522025CA006433XXCICI&bypassPage=1,https://pcpao.gov/Parcel-Details/153115471060000030
07/30/2026 10:00 AM ET,"2930 LICHEN LN # A CLEARWATER, FL- 33760","$138,918.41","$144,074.00",Hidden,522025CA006702XXCICI,162929242029300010,https://www.pinellas.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=522025CA006702XXCICI&bypassPage=1,https://pcpao.gov/Parcel-Details/162929242029300010
07/30/2026 10:00 AM ET,"6070 DENVER ST NE ST PETERSBURG, FL- 33703","$379,859.51","$319,057.00",Hidden,522025CA006963XXCICI,173033813060040120,https://www.pinellas.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=522025CA006963XXCICI&bypassPage=1,https://pcpao.gov/Parcel-Details/173033813060040120
07/30/2026 10:00 AM ET,"19029 US HIGHWAY 19 N # 9-207 CLEARWATER, FL- 33764","$14,841.16","$184,066.00",Hidden,522025CC000802XXCOCO,162920419480002070,https://www.pinellas.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=522025CC000802XXCOCO&bypassPage=1,https://pcpao.gov/Parcel-Details/162920419480002070
07/30/2026 10:00 AM ET,"3510 MAGNOLIA RIDGE CIR # 503 PALM HARBOR, FL- 34684","$16,065.75","$169,512.00",Hidden,522025CC002562XXCOCO,162817544410050503,https://www.pinellas.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=522025CC002562XXCOCO&bypassPage=1,https://pcpao.gov/Parcel-Details/162817544410050503
07/30/2026 10:00 AM ET,"2531 ROYAL PINES CIR # 23-E CLEARWATER, FL- 33763","$18,797.82","$64,961.00",Hidden,522025CC010875XXCOCO,162830941210002305,https://www.pinellas.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=522025CC010875XXCOCO&bypassPage=1,https://pcpao.gov/Parcel-Details/162830941210002305
08/04/2026 10:00 AM ET,"2269 RICHTER ST DUNEDIN, FL- 34698","$266,269.52","$128,115.00",Hidden,522019CA002412XXCICI,162819451980000100,https://www.pinellas.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=522019CA002412XXCICI&bypassPage=1,https://pcpao.gov/Parcel-Details/162819451980000100
08/04/2026 10:00 AM ET,"3376 21ST PL SW LARGO, FL- 33774","$79,614.37","$185,776.00",Hidden,522025CA004206XXCICI,153005429490060030,https://www.pinellas.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=522025CA004206XXCICI&bypassPage=1,https://pcpao.gov/Parcel-Details/153005429490060030
08/05/2026 10:00 AM ET,"2048 LOMA LINDA WAY S CLEARWATER, FL- 33763","$33,867.22","$75,956.00",Hidden,522024CA003791XXCICI,152901936290001990,https://www.pinellas.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=522024CA003791XXCICI&bypassPage=1,https://pcpao.gov/Parcel-Details/152901936290001990
08/05/2026 10:00 AM ET,"8115 61ST ST N PINELLAS PARK, FL- 33781","$698,049.79","$671,001.00",Hidden,522024CA003926XXCICI,163029287820000071,https://www.pinellas.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=522024CA003926XXCICI&bypassPage=1,https://pcpao.gov/Parcel-Details/163029287820000071
08/05/2026 10:00 AM ET,"1450 CAROLYN LN CLEARWATER, FL- 33755","$150,072.43","$107,570.00",Hidden,522025CA001662XXCICI,152902902880000090,https://www.pinellas.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=522025CA001662XXCICI&bypassPage=1,https://pcpao.gov/Parcel-Details/152902902880000090
08/05/2026 10:00 AM ET,"1270 13TH CT SW LARGO, FL- 33770","$450,263.04","$388,321.00",Hidden,522025CA002081XXCICI,153004664740000430,https://www.pinellas.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=522025CA002081XXCICI&bypassPage=1,https://pcpao.gov/Parcel-Details/153004664740000430
08/05/2026 10:00 AM ET,"758 MAC CRILLUS RD LARGO, FL- 33770","$443,323.67","$359,264.00",Hidden,522025CA002086XXCICI,152932107280010010,https://www.pinellas.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=522025CA002086XXCICI&bypassPage=1,https://pcpao.gov/Parcel-Details/152932107280010010
08/05/2026 10:00 AM ET,"1511 RIDGE AVE CLEARWATER, FL- 33755","$510,891.86","$394,365.00",Hidden,522026CA000876XXCICI,152911391680180040,https://www.pinellas.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=522026CA000876XXCICI&bypassPage=1,https://pcpao.gov/Parcel-Details/152911391680180040
08/06/2026 10:00 AM ET,"266 20TH AVE SE ST PETERSBURG, FL- 33705","$226,101.18","$71,918.00","$226,101.18",522025CA002796XXCICI,173130771840060121,https://www.pinellas.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=522025CA002796XXCICI&bypassPage=1,https://pcpao.gov/Parcel-Details/173130771840060121
08/06/2026 10:00 AM ET,"4568 40TH ST S ST PETERSBURG, FL- 33711","$1,226,439.21","$787,205.00",Hidden,522025CA003520XXCICI,163203117070140030,https://www.pinellas.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=522025CA003520XXCICI&bypassPage=1,https://pcpao.gov/Parcel-Details/163203117070140030
08/06/2026 10:00 AM ET,"14204 E PARSLEY DR MADEIRA BEACH, FL- 33708","$523,492.72","$217,246.00",Hidden,522025CA006325XXCICI,153110344700240030,https://www.pinellas.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=522025CA006325XXCICI&bypassPage=1,https://pcpao.gov/Parcel-Details/153110344700240030
08/06/2026 10:00 AM ET,"2072 SUNSET POINT RD # 123 CLEARWATER, FL- 33765","$223,312.74","$197,567.00",Hidden,522025CA006549XXCICI,152901987500121230,https://www.pinellas.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=522025CA006549XXCICI&bypassPage=1,https://pcpao.gov/Parcel-Details/152901987500121230
08/06/2026 10:00 AM ET,"8439 RIVERSIDE DR NE ST PETERSBURG, FL- 33702","$580,203.59","$245,078.00",Hidden,522025CA007361XXCICI,173030756540180020,https://www.pinellas.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=522025CA007361XXCICI&bypassPage=1,https://pcpao.gov/Parcel-Details/173030756540180020
08/06/2026 10:00 AM ET,"2627 17TH AVE N ST PETERSBURG, FL- 33713","$305,966.11","$208,197.00",Hidden,522026CA000519XXCICI,163114017820060240,https://www.pinellas.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=522026CA000519XXCICI&bypassPage=1,https://pcpao.gov/Parcel-Details/163114017820060240
